genre,artist_name,track_name,popularity,danceability,duration_ms,energy,liveness,loudness,tempo,year
Movie,Debbie Davis,I'll Feel Much Better When You Cry,3,0.555,278160,0.773,0.0929,-5.438,120.07,2012.0
R&B,Layton Greene,Roll In Peace,60,0.523,170343,0.507,0.0774,-6.448,140.368,2018.0
R&B,Mariah Carey,Hero,71,0.501,257733,0.378,0.119,-9.37,119.987,1993.0
R&B,Beyoncé,Flawless Remix,69,0.639,234413,0.659,0.484,-7.273,136.801,2014.0
R&B,SZA,Childs Play (feat. Chance the Rapper),65,0.759,216234,0.342,0.112,-9.044,99.995,2014.0
R&B,Joji,SLOW DANCING IN THE DARK - Loud Luxury Remix,65,0.752,176414,0.883,0.167,-4.45,122.026,2018.0
R&B,Jennifer Lopez,Dinero,70,0.721,213750,0.881,0.292,-2.528,127.759,2018.0
R&B,TLC,Creep,68,0.811,268533,0.458,0.0526,-9.688,92.94,1994.0
R&B,Steve Lacy,Some,63,0.784,118393,0.554,0.0995,-6.417,104.01,2016.0
R&B,H.E.R.,2,61,0.794,188987,0.448,0.128,-7.401,149.975,2017.0
R&B,Kelly Clarkson,Love So Soft,67,0.808,172427,0.581,0.0828,-5.43,130.012,2017.0
R&B,Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),70,0.689,210573,0.791,0.0526,-5.194,95.04,2016.0
R&B,Mario,How Do I Breathe,67,0.684,216893,0.455,0.263,-8.216,97.956,2007.0
R&B,Jagged Edge,Where the Party At,70,0.596,232573,0.661,0.0847,-6.239,129.491,2001.0
R&B,GoldLink,Got Friends,67,0.691,226963,0.75,0.123,-3.934,143.744,2018.0
R&B,Zara Larsson,Ain't My Fault,74,0.576,224031,0.782,0.285,-4.825,141.153,2017.0
R&B,Beyoncé,Countdown,66,0.665,212147,0.787,0.219,-5.73,167.349,2011.0
R&B,SZA,Prom,64,0.805,196133,0.702,0.123,-4.877,120.041,2017.0
R&B,H.E.R.,Say It Again,61,0.324,172240,0.493,0.116,-9.995,86.126,2017.0
R&B,Daniel Caesar,Violet,62,0.688,144000,0.425,0.101,-8.134,129.975,2015.0
R&B,John Legend,Love Me Now,68,0.488,210293,0.762,0.0763,-3.842,123.889,2016.0
R&B,Beyoncé,Dance for You,66,0.616,377467,0.78,0.173,-6.062,110.005,2011.0
R&B,Fifth Harmony,That's My Girl,71,0.596,204013,0.851,0.365,-4.245,202.049,2016.0
R&B,Mario,Just a Friend 2002 - Radio Edit,64,0.538,214200,0.677,0.236,-6.099,132.346,2002.0
R&B,Monica,So Gone,63,0.618,242773,0.552,0.252,-6.863,81.975,2003.0
R&B,Mariah Carey,Caution,65,0.71,195867,0.572,0.129,-7.187,140.052,2018.0
R&B,Doja Cat,Go To Town,64,0.71,217813,0.71,0.206,-2.474,169.944,2018.0
R&B,HONNE,Day 1 ◑,67,0.503,233601,0.581,0.257,-7.007,94.555,2018.0
R&B,Bryson Tiller,Overtime,64,0.657,218253,0.497,0.367,-7.689,106.049,2015.0
R&B,Jorja Smith,Teenage Fantasy,68,0.583,226906,0.677,0.43,-10.21,176.119,2018.0
R&B,Tobi Lou,Buff Baby,62,0.736,215385,0.643,0.106,-8.636,156.002,2018.0
